id,pos,gloss,persian_gloss,checked,,,,,,
87209,adjective,"of or taking place in the deeper parts of the sea; ""deep-sea fishing""; ""deep-sea exploration""",یا در قسمتهای عمیق دریا اتفاق می افتد ؛,0,,,,,,
87210,adjective,"taking place or existing on board a ship; ""a shipboard fire""; ""shipboard romances""",حضور یا سوار شدن در کشتی,0,,,,,,
87212,noun,a northwestern arm of the Indian Ocean between India and Arabia,بازوی شمال غربی اقیانوس هند بین هند و عربستان,0,,,,,,
87211,adjective,"formed or situated or occurring beneath the ocean or the ocean bed; ""suboceanic oil resources""",در زیر اقیانوس یا بستر اقیانوس تشکیل شده یا واقع شده است.,0,,,,,,
87214,noun,the part of the Arctic Ocean north of Norway and Russia,بخشی از اقیانوس منجمد شمالی در شمال نروژ و روسیه,0,,,,,,
87213,noun,a body of water between Greenland and northeastern Canada; connected with the Arctic Ocean to the north and with the Atlantic Ocean (via the Labrador Sea) to the south; icebound in winter,یک توده آب بین گرینلند و شمال شرقی کانادا ؛,0,,,,,,
87215,noun,part of the Arctic Ocean northeast of Alaska,بخشی از اقیانوس منجمد شمالی در شمال شرقی آلاسکا,0,,,,,,
87216,noun,an arm of the South Pacific southwest of the Bismarck Archipelago,بازوی جنوب اقیانوس آرام در جنوب غربی مجمع الجزایر بیسمارک,0,,,,,,
87217,noun,a sea between Europe and Asia; a popular resort area of eastern Europeans,دریایی بین اروپا و آسیا ؛,0,,,,,,
87218,noun,part of the Arctic Ocean just north of the Bering Strait,بخشی از اقیانوس منجمد شمالی درست در شمال تنگه برینگ,0,,,,,,
87219,noun,part of the Arctic Ocean north of Iceland,بخشی از اقیانوس منجمد شمالی در شمال ایسلند,0,,,,,,
87220,noun,an arm of the Pacific Ocean in southern Japan; surrounded by the islands of Honshu and Shikoku and Kyushu and linked to the Sea of Japan by a narrow channel; the chief port is Hiroshima,بازوی اقیانوس آرام در جنوب ژاپن ؛,0,,,,,,
87221,noun,an arm of the North Atlantic between Great Britain and Ireland,بازوی اقیانوس اطلس شمالی بین بریتانیا و ایرلند,0,,,,,,
87222,noun,part of the Arctic Ocean north of Siberia and east of the Barents Sea; icebound most of the year,بازوی اقیانوس آرام در جنوب ژاپن ؛,0,,,,,,
87223,noun,part of the Arctic Ocean north of Siberia (between the Taimyr Peninsula and the New Siberian Islands) that is icebound most of the year,بخشی از اقیانوس منجمد شمالی شمال سیبری (بین شبه جزیره تایمیر و جزایر سیبری جدید) که بیشتر سال یخ زده است,0,,,,,,
87224,noun,an inland sea in northwestern Turkey; linked to the Black Sea by the Bosporus and linked to the Aegean by the Dardanelles,دریای داخلی در شمال غربی ترکیه ؛,0,,,,,,
87225,noun,a long arm of the Indian Ocean between northeast Africa and Arabia; linked to the Mediterranean at the north end by the Suez Canal,بازوی بلند اقیانوس هند بین شمال شرقی آفریقا و عربستان.,0,,,,,,
87226,noun,an arm of the southern Pacific Ocean in Antarctica,بازوی جنوب اقیانوس آرام در قطب جنوب,0,,,,,,
87227,noun,any sea south of the equator (but especially the South Pacific),هر دریای جنوب خط استوا (اما به ویژه اقیانوس آرام جنوبی),0,,,,,,
87228,noun,an arm of the eastern Indian Ocean between Timor and northern Australia,بازوی شرق اقیانوس هند بین تیمور و شمال استرالیا,0,,,,,,
87229,noun,an arm of the south Atlantic in Antarctica east of the Antarctic Peninsula,بازوی جنوب اقیانوس اطلس در قطب جنوب شرق شبه جزیره قطب جنوب,0,,,,,,
87230,noun,"turbulent water with swells of considerable size; ""heavy seas""",آب آشفته و متورم با اندازه قابل توجه.,0,,,,,,
87231,noun,a sea in which the waves are running directly against the course of the ship,دریایی که در آن امواج مستقیماً بر خلاف مسیر کشتی در حال دویدن هستند,0,,,,,,
87232,noun,marine fishes: sea basses; sea perches; groupers; jewfish,ماهی های دریایی: باس دریا؛,0,,,,,,
87233,noun,marine food sport fishes mainly of warm coastal waters,ماهی های ورزشی غذاهای دریایی عمدتا از آبهای گرم ساحلی,0,,,,,,
87234,noun,small marine fish with black mouth and gill cavity,ماهی های دریایی کوچک با دهان سیاه و حفره آبشش,0,,,,,,
87235,noun,a kind of sea bass,نوعی باس دریا,0,,,,,,
87236,noun,bluish black-striped sea bass of the Atlantic coast of the United States,باس دریایی راه راه سیاه مایل به آبی در سواحل اقیانوس اطلس ایالات متحده,0,,,,,,
87237,noun,marine food and game fish with dark longitudinal stripes; migrates upriver to spawn; sometimes placed in the genus Morone,غذای دریایی و ماهی شکار با راه راه های طولی تیره.,0,,,,,,
