id,pos,gloss,persian_gloss,checked
73335,noun,red hardwood of the Philippine mahogany tree used for cigar boxes and interior finish,این یک آزمایش است,1
73336,noun,fragrant wood much used for cigar boxes,چوب سخت قرمز درخت چوب ماهون فیلیپین که برای جعبه های سیگار برگ و تزئینات داخلی استفاده می شود,1
73337,noun,tropical trees and shrubs including many important timber and ornamental trees,درختان و درختچه های گرمسیری از جمله بسیاری از درختان مهم و درختان زینتی,1
73341,noun,mahogany tree of West Indies,این یک آزمایش است,1
73338,noun,tropical American tree yielding fragrant wood used especially for boxes,درخت گرمسیری آمریکایی که دارای چوب معطر است و مخصوصاً برای جعبه استفاده می شود,1
73340,noun,African tree having hard heavy odorless wood,این یک آزمایش است,1
73342,noun,an important Central American mahogany tree,درختان و درختچه های گرمسیری از جمله بسیاری از درختان مهم و درختان زینتی,1
73339,noun,African tree having rather lightweight cedar-scented wood varying in color from pink to reddish brown,درخت آفریقایی دارای چوبی با سرو بسیار سبک وزن و دارای رنگ متفاوت از صورتی تا قهوه ای مایل به قرمز,1
73344,noun,a mountain mahogany,چوب ماهون کوهستانی,1
73343,noun,Philippine timber tree having hard red fragrant wood,درخت الوار فیلیپین دارای چوب معطر قرمز سخت,1
73347,noun,delicate maidenhair fern with slender shining black leaf stalks; cosmopolitan,درخت آفریقایی دارای چوبی با سرو بسیار سبک وزن و دارای رنگ متفاوت از صورتی تا قهوه ای مایل به قرمز,1
73349,noun,delicate endemic Bermudian fern with creeping rootstock,درخت الوار فیلیپین دارای چوب معطر قرمز سخت,1
73345,noun,(Greek mythology) a maiden seduced by Zeus; when Hera was about to discover them together Zeus turned her into a white heifer,(اساطیر یونان) دوشیزنی که توسط زئوس اغوا شده است.وقتی هرا قصد داشت آنها را با هم کشف کند زئوس او را به یک تلیسه سفید تبدیل کرد,1
73346,noun,cosmopolitan genus of ferns: maidenhair ferns; in some classification systems placed in family Polypodiaceae or Adiantaceae,تیره کیهانی از سرخس ها: سرخس های دوشیزه؛در برخی از سیستم های طبقه بندی در خانواده Polypodiaceae یا Adiantaceae قرار گرفته است,1
73348,noun,hardy palmately branched North American fern with divergent recurved branches borne on lustrous dark reddish stipes,چوب ماهون کوهستانی,1
73350,noun,tropical American fern with broad pinnae; widely cultivated,سرخس ظریف موی با ساقه های برگ سیاه و باریک و براق ؛شهری,1
73352,verb,send by special mail that goes through diplomatic channels,ارسال از طریق نامه ویژه ای که از کانال های دیپلماتیک عبور می کند,1
73351,verb,"send via the postal service; ""I'll mail you the check tomorrow""",سرخس حساس برمودی بومی با پایه خزنده,1
73353,verb,"send by registered mail; ""I'd like to register this letter""","ارسال با پست الکترونیکی""من می خواهم این نامه را ثبت کنم""",1
73354,verb,"send by express mail or courier; ""Express-mail the documents immediately""",سرخس سرخ پوست آمریکای شمالی با نخل های مقاوم با شاخه های معکوس برگشتی که روی راه راه های قرمز مایل به قرمز براق ایجاد می شود,1
73355,noun,postal service that handles packages,سرویس پستی که بسته ها را اداره می کند,1
73358,noun,mail that is sent by air transport,نامه ای که با حمل و نقل هوایی ارسال می شود,1
73357,noun,mail consisting of printed matter qualifying for reduced postal rates,نامه متشکل از مواد چاپی واجد شرایط کاهش نرخ پستی است,1
